"","index","m0SSRes","m0int","m1SSRes","m1int","m1Pre","m2SSRes","m2int","m2Pre","m2Group","m3SSRes","m3int","m4SSRes","m4int","m4Group","ANCr2","ANC_MS_REG","ANC_MS_RES","ANC_Fobs","ANC_Sig","RMr2","RM_MS_REG","RM_MS_RES","RM_Fobs","RM_Sig"
"1",1,21.8264495687516,0.270962765103348,17.5822275899082,0.184806342170155,0.395535198741476,16.3802725851444,0.190598247569281,0.368945161978787,0.174723764800061,27.4944228339825,0.0531403735505144,27.0140184581949,0.0531403735505144,0.10959064464949,0.0683619296029214,0.0683619296029214,0.0251794073080292,2.71499359641886,0,0.0174727936166699,0.0174727936166699,0.0258559791153508,0.675773813813773,0
"2",2,36.3927229625524,0.156242788570757,30.7599981431673,0.0750255838601962,0.313065008161628,30.220583114163,0.0794066629989751,0.296177421581586,-0.117877610700257,57.8794406095057,-0.103183217508564,57.8502894929071,-0.103183217508564,0.0269958870008917,0.0175362503760123,0.0175362503760123,0.0265530743141618,0.660422599979674,0,0.000503652355510334,0.000503652355510334,0.0263025354643287,0.0191484336631114,0
"3",3,43.2534140950052,0.363635332261151,36.7179664671087,0.275032957227757,0.425168621370591,36.3216950273439,0.279999534151439,0.4013359344615,0.102079214352647,48.6642787525064,0.155241837116161,48.6407517253825,0.155241837116161,-0.0242523334567777,0.0107923035476314,0.0107923035476314,0.0267353431473613,0.40367177964187,0,0.000483455785784875,0.000483455785784875,0.0263030669530057,0.0183802058767002,0
"4",4,40.4518879519338,0.267347786524201,28.9059940591423,0.25195324624343,0.542039171588729,23.8591386596151,0.250179099158069,0.604506591783588,0.360562120836279,37.1478094189994,0.238946628291208,29.8246185524797,0.238946628291208,0.427878220599031,0.174595462422128,0.174595462422128,0.0223082307453479,7.82650423582059,1,0.197136546705072,0.197136546705072,0.0211279856130244,9.33058883680548,1
"5",5,30.7118236161667,0.308916738480119,23.1413101396638,0.302305229822544,0.38389665183801,19.9168245278155,0.303006643197987,0.34316914767319,0.287649614313738,42.6399279093221,0.291694632931865,41.5080173583035,0.291694632931865,0.16821939179377,0.139338939428568,0.139338939428568,0.0232611097451738,5.99021031047232,1,0.0265457895103798,0.0265457895103798,0.0256172160655163,1.03624802330154,0
"6",6,21.5576936864196,0.638233687612014,19.6933631004015,0.610341301462825,0.218444036165891,18.9268025085968,0.607189452809014,0.243128282886119,0.140567276179133,43.5584325617235,0.510547042378964,40.6340687054855,0.510547042378964,0.270386938304995,0.0389248188791597,0.0389248188791597,0.0259750048951578,1.4985490488364,0,0.0671365722835425,0.0671365722835425,0.0245490375714857,2.7347944736344,0
"7",7,70.3979240469914,0.315375694427683,47.079607129319,0.393453837628322,0.844475610741147,34.2942030317963,0.396360703382041,0.875915615998527,0.566076968070762,47.8705042365467,0.407833241108177,34.7963845593729,0.407833241108177,0.571710584062727,0.271569897820166,0.271569897820166,0.0196873000589144,13.7941666458829,1,0.273114308814661,0.273114308814661,0.0191285708206668,14.2778209294959,1
"8",8,28.9947238512392,0.141993156030254,20.9827617176509,0.139216767056462,0.445861831901915,19.2858800963611,0.139363459925511,0.42230434340198,0.207319079606922,33.3585942869426,0.135766139553089,32.5613380293454,0.135766139553089,0.141178633085647,0.0808702707547971,0.0808702707547971,0.0248413440336541,3.25547082497779,0,0.023899575945541,0.023899575945541,0.025686853264591,0.93042054234359,0
"9",9,50.7416915989889,0.336270897433841,42.1603422665669,0.311962550649435,0.504786293191419,40.3296998374812,0.311332784673718,0.517863991781113,0.214266316315629,50.4193103537764,0.288115178642983,48.1336652537061,0.288115178642983,0.239042104035581,0.0434209574844324,0.0434209574844324,0.0258534876355559,1.67950096700749,0,0.0453327323208637,0.0453327323208637,0.0251228228336615,1.80444421476887,0
"10",10,32.4829791467234,0.168722093862267,25.5003500651702,0.170876885112058,0.475451647750373,23.2719151543144,0.170918536828524,0.484642040196872,0.236169637793564,33.9995356693358,0.17325418720969,31.4662946064818,0.17325418720969,0.251656564729297,0.0873884046752579,0.0873884046752579,0.0246651782520201,3.54298695036193,0,0.0745081076250922,0.0745081076250922,0.0243550497993397,3.05924677793565,0
"11",11,48.2998428348883,0.480328608514678,43.9669746512826,0.389519528941747,0.3743990407362,36.0905306237381,0.39769852273955,0.340677661260865,0.444735689148266,56.0646195963363,0.237782368560728,49.4678112830818,0.237782368560728,0.406103690984657,0.179144553156439,0.179144553156439,0.0221852823471233,8.07492779913476,1,0.117664373017267,0.117664373017267,0.0232193586048088,5.06751176980823,1
"12",12,44.0844583947054,0.329376272574876,27.7895357464594,0.234598238268701,0.613849099931209,23.2605998023296,0.242772168881402,0.560908985840032,0.340959487283896,34.2378049378877,0.174976707084275,31.3808382765863,0.174976707084275,0.267253000979473,0.16297270978004,0.16297270978004,0.0226223591951341,7.20405455391647,1,0.0834447963730243,0.0834447963730243,0.0241198737796573,3.45958677625427,0
"13",13,39.5694263029438,0.15189849405816,28.0286874323481,0.104728072084724,0.550472603521933,27.7584398223846,0.104377046178816,0.554569029550035,0.0822931824756283,35.7248551875837,0.0662077227615697,35.2971521304354,0.0662077227615697,0.103404914915632,0.0096418218161576,0.0096418218161576,0.026766437248212,0.360220589940549,0,0.0119721425014203,0.0119721425014203,0.0260007330920679,0.460454036393023,0
